File: wit-attendance-policy.txt
Key:  Value: 1
Key: makeup Value: 1
Key: period Value: 2
Key: tests Value: 2
Key: achieve Value: 1
Key: missed Value: 1
Key: attendance Value: 2
Key: longer Value: 1
Key: delayed Value: 1
Key: for Value: 6
Key: may Value: 3
Key: arrive Value: 1
Key: students Value: 3
Key: papers Value: 2
Key: lack Value: 1
Key: was Value: 1
Key: matter Value: 1
Key: quantity Value: 1
Key: make Value: 1
Key: who Value: 4
Key: course Value: 5
Key: not Value: 2
Key: free Value: 1
Key: a Value: 11
Key: include Value: 1
Key: submit Value: 1
Key: misses Value: 1
Key: regularly Value: 1
Key: take Value: 1
Key: withdrawn Value: 1
Key: allowed Value: 1
Key: studio Value: 1
Key: especially Value: 1
Key: unless Value: 1
Key: does Value: 1
Key: official Value: 1
Key: objectives Value: 1
Key: repeatedly Value: 1
Key: classes Value: 1
Key: ability Value: 1
Key: instructors Value: 1
Key: result Value: 1
Key: time Value: 1
Key: percent Value: 1
Key: that Value: 1
Key: discretion Value: 1
Key: waiting Value: 1
Key: grade Value: 1
Key: participation Value: 1
Key: happened Value: 1
Key: from Value: 6
Key: what Value: 2
Key: withdrawal Value: 1
Key: wait Value: 2
Key: whether Value: 1
Key: faculty Value: 1
Key: part Value: 1
Key: be Value: 3
Key: will Value: 3
Key: final Value: 1
Key: twenty Value: 1
Key: leave Value: 1
Key: decide Value: 1
Key: expected Value: 1
Key: notified Value: 1
Key: after Value: 1
Key: work Value: 1
Key: minutes Value: 1
Key: as Value: 3
Key: class Value: 9
Key: student Value: 5
Key: at Value: 3
Key: of Value: 9
Key: entitled Value: 1
Key: transcript Value: 1
Key: quality Value: 1
Key: in Value: 3
Key: least Value: 1
Key: wa Value: 1
Key: must Value: 1
Key: specified Value: 1
Key: examination Value: 2
Key: about Value: 1
Key: their Value: 1
Key: by Value: 3
Key: is Value: 5
Key: marks Value: 1
Key: right Value: 1
Key: on Value: 2
Key: scheduled Value: 1
Key: beginning Value: 1
Key: constitute Value: 1
Key: other Value: 2
Key: times Value: 1
Key: or Value: 2
Key: responsible Value: 2
Key: information Value: 1
Key: continue Value: 1
Key: and Value: 4
Key: to Value: 8
Key: grades Value: 1
Key: involved Value: 1
Key: up Value: 1
Key: semester Value: 1
Key: ascertain Value: 1
Key: appear Value: 1
Key: are Value: 2
Key: assignments Value: 1
Key: evaluated Value: 1
Key: announced Value: 2
Key: obtaining Value: 1
Key: instructor Value: 7
Key: including Value: 1
Key: absent Value: 3
Key: has Value: 1
Key: knowledge Value: 1
Key: day Value: 1
Key: attend Value: 1
Key: previously Value: 2
Key: the Value: 21

