File: the-lancashire-cotton-famine.txt
Key:  Value: 1
Key: the Value: 12
Key: civil Value: 1
Key: blockade Value: 2
Key: in Value: 4
Key: east Value: 1
Key: history Value: 1
Key: while Value: 1
Key: institute Value: 1
Key: time Value: 1
Key: followed Value: 1
Key: director Value: 1
Key: historical Value: 1
Key: by Value: 1
Key: unemployment Value: 1
Key: is Value: 1
Key: migration Value: 1
Key: told Value: 1
Key: full Value: 1
Key: were Value: 1
Key: during Value: 1
Key: consequences Value: 1
Key: from Value: 1
Key: mass Value: 1
Key: war Value: 1
Key: disputed Value: 1
Key: mills Value: 1
Key: confederate Value: 1
Key: american Value: 2
Key: flow Value: 1
Key: this Value: 1
Key: reaching Value: 1
Key: anglia Value: 1
Key: senior Value: 1
Key: lecturer Value: 1
Key: into Value: 1
Key: bragg Value: 1
Key: lancashire Value: 2
Key: university Value: 3
Key: brown Value: 1
Key: famine Value: 2
Key: stopped Value: 1
Key: studies Value: 1
Key: david Value: 1
Key: cotton Value: 3
Key: and Value: 4
Key: extent Value: 1
Key: emma Value: 1
Key: goldman Value: 1
Key: research Value: 1
Key: melvyn Value: 1
Key: are Value: 1
Key: joined Value: 1
Key: far Value: 1
Key: griffin Value: 1
Key: lawrence Value: 1
Key: starvation Value: 1
Key: cause Value: 1
Key: london; Value: 1
Key: which Value: 1
Key: britain Value: 1
Key: manchester Value: 1
Key: southern Value: 1
Key: professor Value: 1
Key: ports Value: 1
Key: reports Value: 1
Key: of Value: 11
Key: at Value: 4

